"snapshot_ts","vehicle_id","lat","lon","eucl_wgs84_manual_m","st_transform_eucl_m","haversine_manual_m","st_distance_sphere_m","st_distance_spheroid_m"
"2026-06-07 08:33:32.000",1236,59.44034,24.75512,5670.501569538978,5683.662446013959,5663.817470310013,5663.829916334096,5683.537709192893
"2026-06-07 08:34:02.000",1236,59.43972,24.75742,5777.373606889257,5790.914191720347,5770.603103425116,5770.615784106598,5790.787523918801
"2026-06-07 08:34:32.000",1236,59.43946,24.76029,5927.1301764338095,5941.107678921535,5920.209946283639,5920.222955720214,5940.977907356299
"2026-06-07 08:35:02.000",1236,59.43971,24.76266,6063.990103694523,6078.2982452021815,6056.912351352029,6056.925661187448,6078.165297493251
"2026-06-07 08:35:32.000",1236,59.43976,24.76296,6081.820182540353,6096.16901632102,6074.721189425536,6074.734538395199,6096.035641756945
"2026-06-07 08:36:02.000",1236,59.44083,24.76821,6399.35519158207,6414.403562790701,6391.870319238527,6391.884365130835,6414.262415470579
"2026-06-07 08:36:33.000",1236,59.44186,24.77295,6688.096260747089,6703.77163472004,6680.2577188927235,6680.272398506004,6703.623304013026
"2026-06-07 08:37:03.000",1236,59.44305,24.77842,7021.645575575438,7038.043884108076,7013.39802097277,7013.4134326490575,7037.887166452906
"2026-06-07 08:37:33.000",1236,59.44339,24.78271,7265.808364133685,7282.813279635408,7257.284740515209,7257.300688122958,7282.650817812264
"2026-06-07 08:38:03.000",1236,59.44329,24.78482,7378.229446639732,7395.550191351723,7369.589736025652,7369.605930419544,7395.385301488349
"2026-06-07 08:38:33.000",1236,59.4425,24.78923,7598.283580063334,7616.298891659876,7589.439719347859,7589.456396853835,7616.1297897640925
"2026-06-07 08:39:03.000",1236,59.44236,24.79099,7691.420291786327,7709.700752052603,7682.481326213532,7682.498208174909,7709.5297033551915
"2026-06-07 08:39:33.000",1236,59.44267,24.79333,7828.254892393836,7846.857923578748,7819.15595397804,7819.173136276865,7846.683543795442
"2026-06-07 08:40:03.000",1236,59.44296,24.79493,7923.8508521838585,7942.669760574951,7914.637283355088,7914.654675470413,7942.492978885233
"2026-06-07 08:40:34.000",1236,59.44358,24.7962,8010.075103442744,8029.0415806439105,8000.743883984193,8000.7614653150285,8028.8622876830605
"2026-06-07 08:41:04.000",1236,59.44575,24.79966,8260.413757582262,8279.747622550387,8250.7224776914,8250.740608341082,8279.560603476686
"2026-06-07 08:41:34.000",1236,59.44765,24.80269,8482.916822182384,8502.566094696609,8472.902122312997,8472.920741194053,8502.37212616122
"2026-06-07 08:42:04.000",1236,59.44954,24.80554,8698.185008928549,8718.118606034912,8687.851076735878,8687.87016795888,8717.917762124465
"2026-06-07 08:42:34.000",1236,59.45164,24.8076,8881.11458518714,8901.194322233972,8870.480490743981,8870.499983288513,8900.987036030401
"2026-06-07 08:43:05.000",1236,59.45295,24.80837,8969.68138914291,8989.772298299507,8958.883949718549,8958.903636526347,8989.56154587188
"2026-06-07 08:43:35.000",1236,59.45523,24.80989,9137.352837699329,9157.483629605551,9126.25179894127,9126.271853533402,9157.266453208844
"2026-06-07 08:44:05.000",1236,59.45742,24.81189,9331.184355731546,9351.427858563316,9319.752437617426,9319.772917420209,9351.203633112635
"2026-06-07 08:44:35.000",1236,59.45863,24.81378,9480.913436708322,9501.335118916206,9469.253432154945,9469.27424048009,9501.105921570886
"2026-06-07 08:45:06.000",1236,59.46011,24.81748,9737.42539223981,9758.27296305321,9725.411053494772,9725.432424716777,9758.03583460994
"2026-06-07 08:45:36.000",1236,59.46082,24.82014,9906.781332572886,9927.966435155851,9894.550063455816,9894.571806354486,9927.724336007881
"2026-06-07 08:46:07.000",1236,59.46179,24.8238,10139.533356685453,10161.183490801173,10127.004270282368,10127.026523990504,10160.934519104921
"2026-06-07 08:46:37.000",1236,59.46372,24.8282,10453.00974126055,10475.14986416782,10440.03823854908,10440.061180136747,10474.89076649299
"2026-06-07 08:47:08.000",1236,59.46439,24.8296,10555.44577348798,10577.73646968519,10542.326792814785,10542.34995917772,10577.473980756626
"2026-06-07 08:47:38.000",1236,59.46608,24.83275,10794.701170494769,10817.31328137015,10781.22852746514,10781.25221880596,10817.042642779183
"2026-06-07 08:48:08.000",1236,59.46729,24.83393,10911.282213534765,10933.960708845341,10897.609904301104,10897.633851385539,10933.685555068541
"2026-06-07 08:48:38.000",1236,59.46981,24.83515,11093.66652474621,11116.292018239415,11079.634314388339,11079.658661464395,11116.008890400544
"2026-06-07 08:49:08.000",1236,59.47164,24.83602,11228.10960989781,11250.69130206749,11213.810625610155,11213.835267533623,11250.402258109096
"2026-06-07 08:49:38.000",1236,59.47411,24.83778,11442.471564871326,11465.080499667605,11427.776548403117,11427.801660508218,11464.782512086918
"2026-06-07 08:50:08.000",1236,59.47422,24.84123,11621.130163877055,11644.256074688368,11606.254742239995,11606.280246544911,11643.953272439325
"2026-06-07 08:50:39.000",1236,59.47523,24.84544,11884.261807675337,11907.932459888383,11869.055022310464,11869.08110410886,11907.621337065315
"2026-06-07 08:51:09.000",1236,59.47747,24.84694,12075.381854268773,12099.061350721226,12059.817118021343,12059.843619012141,12098.741936359711
