transport_type,line_number,vehicle_id,fleet_number,lat,lon,heading_deg,speed_kmh,floor_type,destination,snapshot_ts,snapshot_date
2,8,1474,2,59.41192,24.63536,117,,Z,Väike-Õismäe,2026-05-23 07:10:03+03,2026-05-23
2,8,1476,61,59.43459,24.72546,66,,Z,Äigrumäe,2026-05-23 07:10:03+03,2026-05-23
2,8,1710,18,59.43242,24.71462,251,,Z,Väike-Õismäe,2026-05-23 07:10:03+03,2026-05-23
2,8,3393,91,59.41218,24.64066,114,,Z,Äigrumäe,2026-05-23 07:10:03+03,2026-05-23
2,8,1186,49,59.47496,24.84423,64,,Z,Äigrumäe,2026-05-23 07:10:33+03,2026-05-23
2,8,1236,34,59.46979,24.83481,187,,Z,Väike-Õismäe,2026-05-23 07:10:33+03,2026-05-23
2,8,1474,2,59.41192,24.63535,117,,Z,Väike-Õismäe,2026-05-23 07:10:33+03,2026-05-23
2,8,1476,61,59.43502,24.72991,82,,Z,Äigrumäe,2026-05-23 07:10:33+03,2026-05-23
2,8,1710,18,59.43209,24.71365,240,,Z,Väike-Õismäe,2026-05-23 07:10:33+03,2026-05-23
2,8,3393,91,59.41391,24.6401,334,,Z,Äigrumäe,2026-05-23 07:10:33+03,2026-05-23
2,8,1186,49,59.47746,24.84694,16,,Z,Äigrumäe,2026-05-23 07:11:03+03,2026-05-23
2,8,1236,34,59.46765,24.83367,194,,Z,Väike-Õismäe,2026-05-23 07:11:03+03,2026-05-23
2,8,1474,2,59.41193,24.63534,117,,Z,Väike-Õismäe,2026-05-23 07:11:03+03,2026-05-23
2,8,1476,61,59.43521,24.73292,98,,Z,Äigrumäe,2026-05-23 07:11:03+03,2026-05-23
2,8,1710,18,59.43072,24.70933,238,,Z,Väike-Õismäe,2026-05-23 07:11:03+03,2026-05-23
2,8,3393,91,59.41485,24.6396,348,,Z,Äigrumäe,2026-05-23 07:11:03+03,2026-05-23
2,8,1186,49,59.47957,24.85113,45,,Z,Äigrumäe,2026-05-23 07:11:34+03,2026-05-23
2,8,1236,34,59.46674,24.83276,241,,Z,Väike-Õismäe,2026-05-23 07:11:34+03,2026-05-23
