stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,thoreb_id,date,source
163189,13104-1,Hotell Olümpia,,59.42932,24.75811,,,,6814,2026-05-23,gtfs
1343,12903-1,Püssirohu,,59.42801,24.76542,,,,1343,2026-05-23,gtfs
1344,12904-1,Püssirohu,,59.4278,24.76493,,,,1344,2026-05-23,gtfs
157894,11609-1,Bussijaam,,59.42917,24.77621,,,,5797,2026-05-23,gtfs
1372,13604-1,Kaabli,,59.40806,24.81126,,,,1372,2026-05-23,gtfs
1373,13605-1,Kaabli,,59.40792,24.81037,,,,1373,2026-05-23,gtfs
129018,13602-1,Kanali tee,,59.40813,24.80792,,,,154,2026-05-23,gtfs
1333,12605-1,Tõnismägi,,59.43148,24.73954,,,,1333,2026-05-23,gtfs
1283,12003-1,Vabaduse väljak,,59.43251,24.74267,,,,1283,2026-05-23,gtfs
1284,12003-2,Vabaduse väljak,,59.43235,24.74206,,,,1284,2026-05-23,gtfs
1285,12003-3,Vabaduse väljak,,59.43217,24.74137,,,,1285,2026-05-23,gtfs
1631,21206-1,Kaubamaja,,59.43439,24.75575,,,,1631,2026-05-23,gtfs
1632,21206-2,Kaubamaja,,59.43501,24.75565,,,,1632,2026-05-23,gtfs
1633,21206-3,Kaubamaja,,59.43458,24.75572,,,,1633,2026-05-23,gtfs
14902,21222-1,Kaubamaja,,59.43441,24.75606,,,,14902,2026-05-23,gtfs
141102,11505-1,J.Vilmsi,,59.43076,24.78126,,,,5844,2026-05-23,gtfs
141103,11506-1,J.Vilmsi,,59.43145,24.78381,,,,5845,2026-05-23,gtfs
159195,12226-1,Laeva,,59.44061,24.75795,,,,109,2026-05-23,gtfs
1089,07501-1,Tallinn-Väike,,59.41337,24.74838,,,,1089,2026-05-23,gtfs
146862,13005-2,Lindakivi,,59.4201,24.79391,,,,6152,2026-05-23,gtfs
1315,12301-1,Hotell Olümpia,,59.43104,24.76044,,,,1315,2026-05-23,gtfs
1354,13103-1,Hotell Olümpia,,59.43112,24.76121,,,,1354,2026-05-23,gtfs
1328,12504-1,Keskhaigla,,59.42882,24.75249,,,,1328,2026-05-23,gtfs
1327,12503-1,Liivalaia,,59.42807,24.74938,,,,1327,2026-05-23,gtfs
162021,16018-1,Võllamägi,,59.42741,24.74513,,,,6716,2026-05-23,gtfs
